semana_referencia,restaurante,categoria,item,unidade_medida,quantidade,preco_unitario_pago_brl,valor_total_brl
2026-07-25,Restaurante C,Mercearia,Azeite de oliva,L,13.3,44.33,589.59
2026-07-25,Restaurante C,Mercearia,Farinha de trigo,kg,13.9,4.87,67.69
2026-07-25,Restaurante C,Mercearia,Feijao carioca,kg,17.9,8.14,145.71
2026-07-25,Restaurante C,Mercearia,Massa seca,kg,14.6,8.36,122.06
2026-07-25,Restaurante C,Mercearia,Molho de tomate,kg,9.3,10.28,95.60
2026-07-25,Restaurante C,Mercearia,Oleo de soja,L,5.2,8.62,44.82
2026-07-25,Restaurante C,Mercearia,Sal refinado,kg,11.8,2.38,28.08
2026-07-25,Restaurante D,Bebidas,Agua mineral 500ml,un,28,1.69,47.32
2026-07-25,Restaurante D,Bebidas,Cerveja long neck,un,20,4.25,85.00
2026-07-25,Restaurante D,Bebidas,Refrigerante 2L,un,32,8.33,266.56
2026-07-25,Restaurante D,Carnes,Acem,kg,12.1,29.78,360.34
2026-07-25,Restaurante D,Carnes,Bacon em cubos,kg,7.6,35.38,268.89
2026-07-25,Restaurante D,Carnes,Contrafile,kg,12.3,47.73,587.08
2026-07-25,Restaurante D,Carnes,Coxa e sobrecoxa,kg,10.3,12.53,129.06
2026-07-25,Restaurante D,Carnes,File de frango,kg,15.8,18.05,285.19
2026-07-25,Restaurante D,Carnes,Linguica toscana,kg,16.5,24.67,407.06
2026-07-25,Restaurante D,Descartaveis,Guardanapo pacote,un,34,4.43,150.62
2026-07-25,Restaurante D,Hortifruti,Alface crespa,un,19,3.67,69.73
2026-07-25,Restaurante D,Hortifruti,Alho,kg,5.2,33.13,172.28
2026-07-25,Restaurante D,Hortifruti,Batata,kg,5.0,4.96,24.80
2026-07-25,Restaurante D,Hortifruti,Cenoura,kg,12.5,4.78,59.75
2026-07-25,Restaurante D,Hortifruti,Tomate,kg,16.8,7.96,133.73
2026-07-25,Restaurante D,Laticinios,Creme de leite,L,10.1,12.89,130.19
2026-07-25,Restaurante D,Laticinios,Leite integral,L,15.3,5.34,81.70
2026-07-25,Restaurante D,Laticinios,Manteiga,kg,12.1,51.25,620.12
2026-07-25,Restaurante D,Laticinios,Ovos,dz,14,12.45,174.30
2026-07-25,Restaurante D,Laticinios,Queijo prato,kg,7.9,42.00,331.80
2026-07-25,Restaurante D,Laticinios,Requeijao,kg,8.1,30.74,248.99
2026-07-25,Restaurante D,Limpeza,Desinfetante 5L,un,29,19.13,554.77
2026-07-25,Restaurante D,Limpeza,Detergente 5L,un,36,22.31,803.16
2026-07-25,Restaurante D,Limpeza,Saco de lixo 100L,un,13,32.18,418.34
2026-07-25,Restaurante D,Mercearia,Acucar refinado,kg,8.1,4.62,37.42
2026-07-25,Restaurante D,Mercearia,Arroz branco tipo 1,kg,5.4,6.05,32.67
2026-07-25,Restaurante D,Mercearia,Azeite de oliva,L,11.6,43.19,501.00
2026-07-25,Restaurante D,Mercearia,Farinha de trigo,kg,12.3,4.71,57.93
2026-07-25,Restaurante D,Mercearia,Feijao carioca,kg,11.4,7.71,87.89
2026-07-25,Restaurante D,Mercearia,Massa seca,kg,5.5,7.95,43.73
2026-07-25,Restaurante D,Mercearia,Molho de tomate,kg,8.7,9.77,85.00
2026-07-25,Restaurante D,Mercearia,Oleo de soja,L,16.2,8.69,140.78
2026-07-25,Restaurante D,Padaria,Pao de hamburguer,un,17,1.91,32.47
2026-07-25,Restaurante D,Padaria,Pao frances,kg,9.7,15.28,148.22
2026-07-25,Restaurante E,Bebidas,Agua mineral 500ml,un,17,1.81,30.77
2026-07-25,Restaurante E,Bebidas,Cerveja long neck,un,10,4.79,47.90
2026-07-25,Restaurante E,Bebidas,Refrigerante 2L,un,18,9.70,174.60
2026-07-25,Restaurante E,Carnes,Acem,kg,7.7,33.36,256.87
2026-07-25,Restaurante E,Carnes,Bacon em cubos,kg,6.0,36.88,221.28
2026-07-25,Restaurante E,Carnes,Contrafile,kg,10.1,53.84,543.78
2026-07-25,Restaurante E,Carnes,Coxa e sobrecoxa,kg,8.6,14.22,122.29
2026-07-25,Restaurante E,Carnes,File de frango,kg,12.7,20.74,263.40
2026-07-25,Restaurante E,Carnes,Hamburguer 180g,kg,6.8,42.88,291.58
2026-07-25,Restaurante E,Carnes,Linguica toscana,kg,5.0,27.89,139.45
2026-07-25,Restaurante E,Descartaveis,Guardanapo pacote,un,20,4.63,92.60
2026-07-25,Restaurante E,Descartaveis,Luva descartavel cx,un,15,30.89,463.35
2026-07-25,Restaurante E,Hortifruti,Alface crespa,un,32,3.91,125.12
2026-07-25,Restaurante E,Hortifruti,Alho,kg,11.2,36.54,409.25
2026-07-25,Restaurante E,Hortifruti,Batata,kg,4.9,5.33,26.12
2026-07-25,Restaurante E,Hortifruti,Cenoura,kg,11.3,5.04,56.95
2026-07-25,Restaurante E,Hortifruti,Tomate,kg,4.8,8.94,42.91
2026-07-25,Restaurante E,Laticinios,Leite integral,L,12.3,5.84,71.83
2026-07-25,Restaurante E,Laticinios,Manteiga,kg,10.9,55.07,600.26
2026-07-25,Restaurante E,Laticinios,Ovos,dz,20,13.84,276.80
2026-07-25,Restaurante E,Laticinios,Queijo mussarela,kg,9.9,47.13,466.59
2026-07-25,Restaurante E,Laticinios,Queijo prato,kg,5.5,45.86,252.23
2026-07-25,Restaurante E,Laticinios,Requeijao,kg,12.4,30.85,382.54
2026-07-25,Restaurante E,Limpeza,Desinfetante 5L,un,15,20.96,314.40
2026-07-25,Restaurante E,Limpeza,Detergente 5L,un,17,24.40,414.80
2026-07-25,Restaurante E,Limpeza,Saco de lixo 100L,un,10,36.37,363.70
2026-07-25,Restaurante E,Mercearia,Acucar refinado,kg,7.9,4.90,38.71
2026-07-25,Restaurante E,Mercearia,Arroz branco tipo 1,kg,3.3,6.48,21.38
2026-07-25,Restaurante E,Mercearia,Azeite de oliva,L,7.5,46.34,347.55
2026-07-25,Restaurante E,Mercearia,Farinha de trigo,kg,8.9,5.36,47.70
2026-07-25,Restaurante E,Mercearia,Molho de tomate,kg,9.2,10.65,97.98
2026-07-25,Restaurante E,Mercearia,Oleo de soja,L,6.0,9.05,54.30
2026-07-25,Restaurante E,Mercearia,Sal refinado,kg,6.7,2.46,16.48
2026-07-25,Restaurante E,Padaria,Pao de hamburguer,un,13,1.99,25.87
2026-07-25,Restaurante E,Padaria,Pao frances,kg,13.1,16.27,213.14
